sample_num,plot,treatment,date,depth_cm,richness,shannon_classes,evenness,mean_nosc,mean_hc,mean_oc,mean_nc,mean_ai,mean_dbe,frac_labile,frac_aromatic,frac_lignin,frac_other
1,1,control,2017-05-31,10,163,1.03425548589226,0.577228977245392,-0.388599443603992,1.14100532911123,0.360781817814691,0.00883915478262484,0.195103022409745,12.6871165644172,0.0736196319018405,0.282208588957055,0.638036809815951,0.00613496932515337
2,1,control,2017-12-06,10,432,1.02759307697559,0.573510616030571,-0.403394058224192,1.15872099143547,0.359691216533092,0.0104332928686169,0.192157378554492,13.4675925925926,0.0833333333333333,0.259259259259259,0.648148148148148,0.00925925925925926
3,1,control,2018-05-09,10,534,1.23624968428535,0.689964085870276,-0.411312764108134,1.13647314814659,0.339909502940581,0.0127116880847697,0.230472247170234,14.7734082397004,0.116104868913858,0.314606741573034,0.554307116104869,0.0149812734082397
4,1,control,2018-05-22,10,172,0.876276716080861,0.544461336042214,-0.401566510771441,1.14480965543383,0.357072167217379,0.00868698789170926,0.182207816439277,12.6627906976744,0.0523255813953488,0.255813953488372,0.691860465116279,0
5,1,control,2018-10-10,10,206,0.931754914760018,0.578931878988012,-0.426837569068144,1.18848923961396,0.362084779791827,0.00979732073501814,0.167546154923433,12.0533980582524,0.0776699029126214,0.242718446601942,0.679611650485437,0
6,1,control,2018-11-07,10,286,1.10323353706303,0.615726360602596,-0.434799802768483,1.15352499537689,0.339995573572565,0.00984449650690979,0.211023259941419,13.8531468531468,0.0909090909090909,0.307692307692308,0.594405594405594,0.00699300699300699
7,1,control,2019-09-10,10,568,1.19460096281005,0.66671949183264,-0.432016965631344,1.1415742039547,0.334149027678319,0.0114989461092272,0.224495417277017,14.5,0.119718309859155,0.294014084507042,0.575704225352113,0.0105633802816901
8,1,control,2019-12-03,10,285,0.842139299188871,0.470006891913729,-0.38042659789746,1.14937284999973,0.375015606951208,0.00359915113574523,0.161596323451567,12.6070175438596,0.0491228070175439,0.231578947368421,0.715789473684211,0.00350877192982456
9,1,control,2020-01-28,10,603,1.05098164933711,0.586564026805398,-0.309126187446995,1.13288110019671,0.399328541045965,0.00537856677116923,0.152880431064524,12.9121061359867,0.0630182421227197,0.190713101160862,0.674958540630183,0.0713101160862355
10,1,control,2021-12-15,10,280,1.16147951002586,0.72166779535425,-0.474290158421361,1.07008251772827,0.268099124861696,0.0135878473569637,0.30273251635885,14.7428571428572,0.0714285714285714,0.435714285714286,0.492857142857143,0
11,1,control,2022-08-23,10,354,1.21460162650792,0.677882074780499,-0.496581372942867,1.0348622750064,0.245126064527353,0.00887458840064491,0.331853738374839,18.0677966101695,0.0819209039548023,0.480225988700565,0.432203389830509,0.00564971751412429
12,1,control,2022-09-08,10,289,0.929230120112099,0.518613204546055,-0.461204660410384,1.10837503474318,0.308184183959695,0.00439264356702477,0.229157741570436,13.8096885813149,0.0346020761245675,0.332179930795848,0.626297577854671,0.0069204152249135
13,1,control,2022-11-16,10,743,1.21950845907346,0.757723208613301,-0.528367726324329,1.10368683447025,0.263056708993543,0.00968479008011126,0.288061853638995,16.7886944818304,0.123822341857335,0.390309555854643,0.485868102288022,0
108,1,control,2020-02-25,30,189,1.34012205348131,0.832664648401704,-0.763067851377917,1.11135189129789,0.143274819838341,0.012277697403259,0.387611154003204,20.3703703703704,0.275132275132275,0.560846560846561,0.164021164021164,0
109,1,control,2021-09-21,30,24,1.4335286453659,0.89070142705775,-0.929023282988013,1.28286515826519,0.147860940450028,0.0236906668248371,0.302524565074836,16.5833333333333,0.416666666666667,0.333333333333333,0.25,0
110,1,control,2022-08-23,30,49,0.956567274794814,0.594348665086502,-0.652786371583604,0.943923566742559,0.110893735592903,0.0109753590365997,0.486417129650679,19.8571428571429,0.122448979591837,0.775510204081633,0.102040816326531,0
111,1,control,2022-09-08,30,131,1.29259804865112,0.803136323970526,-0.707039462852119,1.04025900034127,0.133735033388791,0.00850216849853908,0.435294963579448,20.1450381679389,0.16793893129771,0.625954198473283,0.206106870229008,0
112,1,control,2022-11-16,30,333,1.32994049381835,0.742253922280833,-0.612940607510384,1.01232396614453,0.169762303591929,0.0104527544417063,0.415680682252643,23.96996996997,0.174174174174174,0.603603603603604,0.216216216216216,0.00600600600600601
113,1,control,2023-01-12,30,257,1.33188645696772,0.827547584580869,-0.630781415416529,1.02237555179709,0.163099117145006,0.0158582135735284,0.42393373543597,19.6964980544747,0.155642023346304,0.610894941634241,0.233463035019455,0
114,1,control,2023-05-30,30,160,1.29026474599753,0.80168656151895,-0.705393401231405,1.03345001085689,0.120702633507657,0.0190256210787493,0.450332072273732,19.1875,0.15,0.6125,0.2375,0
115,1,control,2023-08-22,30,488,1.4004906101403,0.781628691904541,-0.5836081598139,1.05712574852521,0.175603070536192,0.0347733410309378,0.39694100142961,19.3709016393442,0.157786885245902,0.506147540983607,0.327868852459016,0.00819672131147541
116,1,control,2023-12-12,30,509,1.35181431321059,0.754461933326905,-0.498442897503735,0.996816925757578,0.180456222412462,0.0386024123510523,0.43759739846151,18.7426326129666,0.115913555992141,0.557956777996071,0.324165029469548,0.00196463654223969
14,2,warmed,2017-05-31,10,944,1.23109211380864,0.687085590980038,-0.283018626109613,1.14179275861815,0.406442126878686,0.0109684578069097,0.158675570557609,12.0169491525424,0.115466101694915,0.198093220338983,0.604872881355932,0.0815677966101695
15,2,warmed,2017-12-06,10,383,1.23121099112741,0.764994400601226,-0.517532183794162,1.08898170701938,0.255260975348103,0.0144793893837624,0.307614272511809,15.420365535248,0.107049608355091,0.441253263707572,0.451697127937337,0
16,2,warmed,2018-05-09,10,863,1.29713202634683,0.723943167944115,-0.420588565466819,1.04489661629535,0.291941468240253,0.00572491514832314,0.291704778721419,15.8088064889918,0.0776361529548088,0.412514484356895,0.468134414831981,0.0417149478563152
17,2,warmed,2018-05-22,10,793,1.14638116927542,0.639807512650854,-0.473101061653318,1.00318735580449,0.2237302845921,0.0209324932217289,0.378553020585768,16.7894073139974,0.0517023959646911,0.505674653215637,0.438839848675914,0.00378310214375788
18,2,warmed,2018-10-10,10,443,1.1322767017452,0.631935659440394,-0.523250572141448,1.04890993251436,0.240891388752363,0.00720642281803496,0.327342750388283,16.0316027088036,0.0632054176072235,0.496613995485327,0.437923250564334,0.00225733634311512
19,2,warmed,2018-11-07,10,950,1.22682584673492,0.68470454199049,-0.54764555263887,1.09554679300642,0.232763716060944,0.0222143265663861,0.325029434695226,15.0747368421053,0.127368421052632,0.374736842105263,0.496842105263158,0.00105263157894737
20,2,warmed,2019-09-10,10,1392,1.34661708659818,0.751561305925927,-0.477822637657129,1.17062636810221,0.297710947694713,0.0245665998070192,0.248724752744029,12.6508620689655,0.201867816091954,0.257902298850575,0.52514367816092,0.0150862068965517
21,2,warmed,2019-12-03,10,867,1.3137324356236,0.733208032766585,-0.570328960753471,1.07837007090578,0.229635640385615,0.00844397670391625,0.32850647411297,18.4509803921568,0.129181084198385,0.450980392156863,0.410611303344867,0.00922722029988466
22,2,warmed,2020-01-28,10,773,1.2644177914729,0.705685005821484,-0.535486153720046,1.06463602824626,0.230184782758697,0.0162802983377401,0.334864171765526,15.7697283311772,0.102199223803364,0.463130659767141,0.425614489003881,0.00905562742561449
23,2,warmed,2021-12-15,10,273,1.26123024099759,0.783646409254841,-0.580952277032461,1.05881577488138,0.213433240582353,0.00957882008452933,0.35598808033434,16.8534798534799,0.120879120879121,0.534798534798535,0.344322344322344,0
24,2,warmed,2022-08-23,10,679,1.18988086665763,0.664085156011633,-0.51164721887148,1.01875884128796,0.230865279247857,0.00700823170118876,0.352859843853683,17.138438880707,0.069219440353461,0.511045655375552,0.415316642120766,0.00441826215022091
25,2,warmed,2022-11-16,10,211,1.16991201358063,0.726907204398624,-0.563867681099082,1.02594020527063,0.207802558085511,0.00763147553196116,0.371384460410303,17.2274881516588,0.0900473933649289,0.57345971563981,0.336492890995261,0
117,2,warmed,2020-02-25,30,556,1.37763163614582,0.768870855606164,-0.623612192821964,1.05114509398399,0.181275630620691,0.014496070237685,0.392285837164694,21.134892086331,0.18705035971223,0.543165467625899,0.267985611510791,0.00179856115107914
118,2,warmed,2021-09-21,30,734,1.32078632539304,0.737144883605427,-0.548677278489247,1.06531729266262,0.214495858990485,0.0224072937146952,0.363029271043461,17.0095367847411,0.137602179836512,0.504087193460491,0.35558583106267,0.00272479564032698
119,2,warmed,2022-08-23,30,95,1.20288826838014,0.747396503516498,-0.619163271137676,0.98457400359227,0.144493721666843,0.0155716482216223,0.45107353011876,20.8526315789474,0.115789473684211,0.642105263157895,0.242105263157895,0
120,2,warmed,2022-09-08,30,8,1.08219553003877,0.985056822321508,-0.43523033126294,1.54422715267824,0.370635086531826,0.118893467643468,0.258890597706387,8.125,0.375,0.25,0.375,0
121,2,warmed,2022-11-16,30,142,1.38837191363383,0.774865118604328,-0.609617382673849,1.09216314623301,0.202455520956482,0.0181187711385217,0.36471942616342,16.0633802816902,0.211267605633803,0.549295774647887,0.232394366197183,0.00704225352112676
122,2,warmed,2023-01-12,30,218,1.49993417496904,0.837129202177599,-0.655349717107023,1.14451454247966,0.205204150910625,0.0201664679311847,0.345163048686426,15.0504587155963,0.270642201834862,0.509174311926605,0.215596330275229,0.00458715596330275
123,2,warmed,2023-05-30,30,195,1.33700794890968,0.830729746441478,-0.566222000212443,0.984728789224908,0.171116979406319,0.0187788381985381,0.439906799379093,18.1692307692308,0.143589743589744,0.651282051282051,0.205128205128205,0
124,2,warmed,2023-08-22,30,385,1.45457198330611,0.903776388059748,-0.624881853822915,1.09191650888326,0.189369768132045,0.0242491589082923,0.377104524647903,15.9792207792208,0.192207792207792,0.493506493506494,0.314285714285714,0
