metric,metric_label,metric_order,metric_group,depth_label,treatment_label,n_samples,n_series,phi_per_30d,half_life_days,days_to_corr05,delta_aic_car1_minus_null,fit_ok,metric_clean
vk_frac_condensed_aromatic,Condensed aromatic formulae (%),9,Van Krevelen class fractions,0-10 cm,Warmed,53,3,0.603807507302221,41.2178840265218,178.140730986034,-15.0379055691379,TRUE,Condensed aromatic formulae (%)
vk_frac_condensed_aromatic,Condensed aromatic formulae (%),9,Van Krevelen class fractions,10-30 cm,Control,46,3,0.0543542549080532,7.14036954959548,30.8601637642749,1.52031576110164,TRUE,Condensed aromatic formulae (%)
vk_frac_condensed_aromatic,Condensed aromatic formulae (%),9,Van Krevelen class fractions,10-30 cm,Warmed,42,3,1.4420100095128e-05,1.86549074307062,8.06251685322921,2.00204306822624,TRUE,Condensed aromatic formulae (%)
vk_frac_lignin_like,Lignin-like formulae (%),10,Van Krevelen class fractions,0-10 cm,Control,54,3,0.132464896516511,10.2869440098226,44.4594323265856,0.967165714063754,TRUE,Lignin-like formulae (%)
vk_frac_lignin_like,Lignin-like formulae (%),10,Van Krevelen class fractions,0-10 cm,Warmed,53,3,0.692294235350195,56.5458663684118,244.387168507385,-20.825100026335,TRUE,Lignin-like formulae (%)
vk_frac_lignin_like,Lignin-like formulae (%),10,Van Krevelen class fractions,10-30 cm,Control,46,3,0.557495297029791,35.5885201114974,153.811024925345,0.106068542790524,TRUE,Lignin-like formulae (%)
vk_frac_lignin_like,Lignin-like formulae (%),10,Van Krevelen class fractions,10-30 cm,Warmed,42,3,0.801501177326069,93.9780567472349,406.166403758793,-9.70415476839489,TRUE,Lignin-like formulae (%)
vk_frac_lipid,Lipid formulae (%),11,Van Krevelen class fractions,0-10 cm,Control,54,3,0.019799328207812,5.30184770106814,22.9142045340604,1.61109836778175,TRUE,Lipid formulae (%)
vk_frac_lipid,Lipid formulae (%),11,Van Krevelen class fractions,0-10 cm,Warmed,53,3,0.000157778693132808,2.37533264807458,10.2660169064167,2.01316455437072,TRUE,Lipid formulae (%)
vk_frac_lipid,Lipid formulae (%),11,Van Krevelen class fractions,10-30 cm,Control,46,3,0.0222390602821394,5.46372415158974,23.6138229134703,2.0356501879526,TRUE,Lipid formulae (%)
vk_frac_lipid,Lipid formulae (%),11,Van Krevelen class fractions,10-30 cm,Warmed,42,3,4.023798778066e-06,1.67382595423838,7.23415541757449,2.00240679111269,TRUE,Lipid formulae (%)
vk_frac_other,Other formulae (%),12,Van Krevelen class fractions,0-10 cm,Control,54,3,0.0181406506671674,5.18615712152079,22.4141981680009,1.58466884619259,TRUE,Other formulae (%)
vk_frac_other,Other formulae (%),12,Van Krevelen class fractions,0-10 cm,Warmed,53,3,0.817574303606847,103.242416939878,446.206302356533,-29.9905519633286,TRUE,Other formulae (%)
vk_frac_other,Other formulae (%),12,Van Krevelen class fractions,10-30 cm,Control,46,3,0.468877113591565,27.4544700329085,118.656245365471,-0.789418638519578,TRUE,Other formulae (%)
vk_frac_other,Other formulae (%),12,Van Krevelen class fractions,10-30 cm,Warmed,42,3,0.609036584172288,41.9346287689536,181.238450225212,-3.84472356789806,TRUE,Other formulae (%)
