metric,metric_label,metric_order,n_samples,n_series,null_aic,car1_aic,delta_aic_car1_minus_null,lrt,lrt_p,phi_per_30d,corr_90d,corr_180d,corr_365d,half_life_days,fit_note
richness,"Formula richness
(detected formulae)",1,195,12,484.950895436156,474.348601267898,-10.6022941682579,12.6022941682579,0.000385273576098251,0.241672188567358,0.0141149721347531,0.000199232438364855,3.13274139906316e-08,14.6421699908721,ok
mean_nosc,"Mean NOSC
(formula-count mean)",2,195,12,481.684559721843,483.680767434756,1.99620771291211,0.00379228708789015,0.950896071393485,1.50713958735599e-08,3.42342196026845e-24,1.17198179180482e-47,6.82654003848985e-96,1.15457390321221,ok
mean_hc,"Mean H/C
(formula-count mean)",3,195,12,549.406753659115,551.406752536982,1.99999887786714,1.12213285774487e-06,0.99915479487859,1.25474993092862e-14,1.97547501530945e-42,3.90250153611186e-84,7.34140238849378e-170,0.649637594251521,ok
mean_oc,"Mean O/C
(formula-count mean)",4,195,12,472.942483698665,462.261152999078,-10.6813306995862,12.6813306995862,0.000369324635639008,0.291729309248387,0.024827911639,0.000616425196353991,3.09450205169516e-07,16.8795576709002,ok
mean_ai,"Aromaticity
(mean AI_mod)",5,195,12,474.172074390843,459.569692040421,-14.6023823504214,16.6023823504214,4.60930861016534e-05,0.345032664014612,0.041075289607333,0.00168717941632628,2.38396150631211e-06,19.5414895936837,ok
frac_lignin,"Lignin-like formulae
(%)",6,195,12,426.32395194991,399.751188069535,-26.5727638803747,28.5727638803747,9.02426325662542e-08,0.568632349569348,0.183863147066865,0.0338056568493316,0.00104020120223812,36.8354914895474,ok
frac_n_containing,"N-containing formulae
(%)",7,195,12,503.608312904307,505.608205880993,1.99989297668606,0.00010702331394441,0.99174586605331,1.63738930620743e-11,4.3899123494854e-33,1.92713304361644e-65,5.91809666413461e-132,0.837291590590827,ok
