sample_num,sample_name_raw,sample_is_extra,sample_date,plot,treatment,treatment_raw,depth,sample_run_n,sample_first_run,sample_last_run,total_peak_area_mean,total_peak_area_sd,formula_detected_n_mean,formula_detected_n_sd,delGcat_wmean,delGcat_wmean_sd,lambda_wmean,lambda_wmean_sd,cue_wmean,cue_wmean_sd,nosc_wmean,nosc_wmean_sd,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing
12,12,FALSE,2022-09-08,1,control,Control treatment,0-10 cm,2,2024-10-09,2024-10-14,32548151632.478,113464229.625478,529,22.6274169979695,-13644.8501623179,125.229834235796,0.0355303434155902,0.000158827854441166,0.543233252289479,0.000936664703841333,-0.502637527368922,0.00936221551553737,118.180307465448,1.10170089028706,0.274526592441019,0.500833098319795,0.0682984951065351,0.379004103031024,0,0.1067837319274,0.020294722402553,0.427701502183122
13,13,FALSE,2022-11-16,1,control,Control treatment,0-10 cm,3,2024-10-09,2024-10-24,22845965065.8828,2880123779.01335,1090.66666666667,155.448812582578,-15121.3522950476,417.796782654493,0.0338238309798486,0.000447722665619521,0.541946859415214,0.00134867680787224,-0.491170297425757,0.0126863224863509,131.163004870328,1.04840334758349,0.249243510333793,0.455441349545025,0.109161615675187,0.360783658875597,0.000548049244067873,0.173666474519588,0.0221971685420502,0.427460805546472
14,14,FALSE,2017-05-31,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,48317162917.8819,4902825016.07847,1725.5,126.572113832392,-11683.3332847841,75.6266279758593,0.0429826436833466,0.000151246660912234,0.532498219471447,0.00124260808540033,-0.395284518280281,0.0123556518428601,100.926561142686,1.19602168708735,0.378248143604677,0.626065562662989,0.102672133647656,0.208054125152408,0.00404365023705062,0.145918590212189,0.0440928097568514,0.244604681607214
15,15,FALSE,2017-12-06,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,16653797491.9926,3335312477.24572,763,22.6274169979695,-14203.836746205,946.315293504105,0.0377156167640399,0.000387665488651493,0.555171630807131,0.000434455077280236,-0.626442126376677,0.00499217957188364,123.649184319005,1.16313457567906,0.23712248299366,0.389303178046707,0.142758903299367,0.334512136260622,0.0323524635711017,0.236421040589055,0.066180936135725,0.413174183505047
16,16,FALSE,2018-05-09,2,warmed,Warming treatment,0-10 cm,3,2024-10-09,2024-10-24,34576163017.1222,2308085347.59545,1333.33333333333,88.325156854281,-14163.6044194099,44.0642754162862,0.0344577024103588,0.000282190502814058,0.552345731941222,0.00309084524933219,-0.591019107631911,0.0304861706886886,123.051822721931,1.1374839043504,0.264249707117933,0.442586006988662,0.0491966051090336,0.389681082366151,0.0762657778273886,0.0781612852688142,0.094872219187503,0.427654648144802
17,17,FALSE,2018-05-22,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,34909239133.1803,259499523.36122,1544,28.2842712474619,-14898.6137600564,42.9098337955069,0.033041640394039,0.00015654883883061,0.556255100232157,0.000150003268013545,-0.636067707322139,0.0013469038780476,129.689563667439,1.07037574544178,0.190479357590917,0.274046533044201,0.156890963638892,0.465475723102858,0.0642614139725599,0.18677248593363,0.0823053255700907,0.498396720746254
18,18,FALSE,2018-10-10,2,warmed,Warming treatment,0-10 cm,3,2024-10-08,2024-10-14,26916979062.5344,6089175568.49387,733,53.507008886687,-14512.6156672828,527.944791987783,0.031418823642692,0.000860207376858736,0.571648528271285,0.00277939873841798,-0.785167561695877,0.0277228113746908,126.711072870271,1.20136128691892,0.205395799670112,0.307782779594569,0.0525733860596539,0.456708323238275,0.135879375456551,0.0880009847227915,0.156615831886757,0.497135589405521
19,19,FALSE,2018-11-07,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,50169998386.4317,1957782660.48116,1843,72.1248916810279,-14861.3284667097,296.459368672451,0.033045384642363,0.000404005314295791,0.558828461310226,0.000756728512954689,-0.66453336049415,0.0076815415556216,129.621329387636,1.13779759338067,0.204808348221262,0.275802531951734,0.20608050281162,0.408120357193127,0.0531737924679487,0.233041486888644,0.091996516828865,0.45781397705662
20,20,FALSE,2019-09-10,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,60757515690.7615,1240338708.87265,2447.5,34.6482322781408,-12234.654480965,68.6454684801818,0.0414199338294624,7.07955049739079e-05,0.540800093076966,0.00023570313260234,-0.483948519174745,0.00255612484910627,105.987243886491,1.17784678411893,0.299940068129078,0.373719297929888,0.297885508815925,0.215681985406825,0.0257197968158301,0.331791214279135,0.093000557475322,0.290419193767678
21,21,FALSE,2019-12-03,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,18486560058.673,3800487261.99287,1347,765.089537243845,-17662.8613817457,2775.41193887833,0.0285265736066443,0.00186907799186039,0.560620244021415,0.0016209488724935,-0.673997598008687,0.0143542894763344,154.005696991798,1.08872963321458,0.194832208730237,0.293373128044487,0.0534374764019477,0.453449754893199,0.0801077145396128,0.155709325467237,0.123504856790523,0.560439454867517
22,22,FALSE,2020-01-28,2,warmed,Warming treatment,0-10 cm,3,2024-10-09,2024-10-24,38852196755.9842,4317141978.554,1304,97.6165969494942,-14954.8356549279,65.7392731259656,0.0320004325889546,0.000350861788004204,0.556390398053935,0.00354481077144574,-0.636411163292926,0.0345165998160238,130.119536297595,1.08614524140483,0.198439593540709,0.277245463391989,0.158531781188319,0.434652123918639,0.0663935149596809,0.199884072974468,0.0993269339381438,0.48962977433199
23,23,FALSE,2021-12-15,2,warmed,Warming treatment,0-10 cm,2,2024-10-09,2024-10-14,11657273519.1761,1336589058.86538,531,24.0416305603426,-16077.0362481335,418.907683113984,0.0302560050861952,0.000100485917104449,0.570008479141532,0.000894589660070534,-0.769059654053768,0.00846940638843541,140.458213420339,1.15431777160263,0.184029508934096,0.257515539717573,0.0754057812585703,0.462540258510332,0.112839348034022,0.147616439040126,0.155153653560581,0.540546053563449
24,24,FALSE,2022-08-23,2,warmed,Warming treatment,0-10 cm,3,2024-10-08,2024-10-14,39071678872.5503,10694939197.0832,1128.33333333333,127.472872931198,-14880.8640865844,510.740434580419,0.0322776145784557,0.000518940220430164,0.558008120003713,0.00106249483912235,-0.647984908759802,0.0101526884636272,129.465448657283,1.11446188922171,0.221039402275487,0.360126624570578,0.038941652310989,0.478136799813751,0.0678234106880482,0.0815906244594906,0.0994731968058126,0.519654544974843
