response,anchor,model,n,rmse,mae,scaled_mae,r2
cue_wmean,linear90,linear90,49,0.0194630095047539,0.0137553206803993,0.490028254304874,0.509232679563045
cue_wmean,linear90,nearest45,49,0.0222797224932778,0.0160102571313295,0.57035953834337,0.356904899690707
cue_wmean,linear90,global_mean,49,0.0278919781877463,0.0234502196754885,0.835405475280559,-0.00789265488286195
cue_wmean,linear90,depth_mean,49,0.0245938515243354,0.0205300791548198,0.731376540229464,0.216374174955679
cue_wmean,linear90,trt_depth_mean,49,0.023424173929864,0.0197873682996557,0.704917738412657,0.28913977497997
cue_wmean,linear90,plot_depth_mean,49,0.0202364466628843,0.0147676970150247,0.526093789924337,0.469452637597127
cue_wmean,linear90,calendar,49,0.0337997196578846,0.0281572430063513,1.0030914550834,-0.48006859216407
cue_wmean,linear90,structure_calendar,49,0.0245162810305302,0.0202466561752397,0.721279700530815,0.221309585776277
cue_wmean,linear90,structure_calendar_climate,49,0.0248657547800604,0.0206372478447165,0.735194385501588,0.198951264310543
cue_wmean,linear90,structure_calendar_climate_bgc,49,0.0263538510218477,0.0212063448306631,0.755468256902564,0.100204494483977
nosc_wmean,linear90,linear90,49,0.194786232362709,0.137259867901043,0.487916966597574,0.51058638720715
nosc_wmean,linear90,nearest45,49,0.222624517730069,0.15966925818412,0.567575514266457,0.360698809080491
nosc_wmean,linear90,global_mean,49,0.27958534545796,0.234837667126041,0.834776281947143,-0.00829668219875668
nosc_wmean,linear90,depth_mean,49,0.246523252972502,0.205503980361623,0.730503972173854,0.216073564920944
nosc_wmean,linear90,trt_depth_mean,49,0.234668215605625,0.197976335127333,0.703745489272024,0.289657053893687
nosc_wmean,linear90,plot_depth_mean,49,0.202987872992556,0.14772718557065,0.525125088416909,0.468504348285422
nosc_wmean,linear90,calendar,49,0.340354728888941,0.284846750930932,1.01254332227387,-0.49424946245918
nosc_wmean,linear90,structure_calendar,49,0.247863777817629,0.20424185965729,0.726017518012451,0.207524837550512
nosc_wmean,linear90,structure_calendar_climate,49,0.246625675636955,0.205123389574333,0.729151088003928,0.215422036007422
nosc_wmean,linear90,structure_calendar_climate_bgc,49,0.260758661243162,0.209600764960067,0.74506679191602,0.122924427775661
lambda_wmean,linear90,linear90,49,0.00335765175637339,0.00261886787158726,0.630623788634602,0.332671508789896
