scope,metric,metric_label,metric_order,n_short_pairs,n_long_pairs,short_scaled_semivar,long_scaled_semivar,short_rho_hat,long_rho_hat,long_minus_short_semivar,permutation_p_short_more_similar,depth_label,treatment_label
by_depth,richness,"Formula richness
(detected formulae)",1,100,776,0.960678201170583,1.01821526829524,0.0393217988294172,-0.0182152682952426,0.0575370671246598,0.424575424575425,0-10 cm,
by_depth,richness,"Formula richness
(detected formulae)",1,70,548,0.383686271136885,1.140823838365,0.616313728863115,-0.140823838365004,0.757137567228119,0.000999000999000999,10-30 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,100,776,0.608986406757104,1.0857299288147,0.391013593242896,-0.0857299288147042,0.4767435220576,0.000999000999000999,0-10 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,70,548,1.19803241114081,0.988050909047487,-0.198032411140813,0.0119490909525133,-0.209981502093326,0.847152847152847,10-30 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,100,776,0.624872132366852,1.07617625703229,0.375127867633148,-0.0761762570322899,0.451304124665438,0.012987012987013,0-10 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,70,548,1.08643065414894,1.0053989979016,-0.0864306541489366,-0.00539899790160425,-0.0810316562473323,0.609390609390609,10-30 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,100,776,0.486532740714026,1.10107263575948,0.513467259285974,-0.101072635759477,0.614539895045451,0.000999000999000999,0-10 cm,
by_depth,mean_oc,"Mean O/C
(formula-count mean)",4,70,548,1.13224367860382,1.03377342739642,-0.132243678603822,-0.0337734273964154,-0.0984702512074063,0.605394605394606,10-30 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,100,776,0.481094122943873,1.09602989122979,0.518905877056127,-0.0960298912297863,0.614935768285914,0.000999000999000999,0-10 cm,
by_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,70,548,0.972618301543309,1.06523415774771,0.0273816984566914,-0.0652341577477089,0.0926158562044003,0.34965034965035,10-30 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,100,776,0.502717765875468,1.09690795388874,0.497282234124532,-0.096907953888741,0.594190188013273,0.000999000999000999,0-10 cm,
by_depth,frac_lignin,"Lignin-like formulae
(%)",6,70,548,0.540162108573116,1.12057832838158,0.459837891426884,-0.120578328381583,0.580416219808467,0.001998001998002,10-30 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,100,776,0.676285818425317,1.04864928774615,0.323714181574683,-0.0486492877461533,0.372363469320836,0.00999000999000999,0-10 cm,
by_depth,frac_n_containing,"N-containing formulae
(%)",7,70,548,0.812749492275034,1.03615013604909,0.187250507724966,-0.0361501360490895,0.223400643774055,0.116883116883117,10-30 cm,
