response,model,n,rmse,mae,scaled_mae,r2
evenness,global_mean,195,0.105842579471299,0.0856255421293247,0.807410049627556,-0.00123343794369557
evenness,depth_mean,195,0.0949929680430332,0.0762372778214181,0.71888297275002,0.19351289263818
evenness,trt_depth_mean,195,0.0915929044772776,0.0719639701913677,0.67858761881881,0.250212533564333
evenness,plot_depth_mean,195,0.075552017562255,0.0595603667830987,0.561627261028547,0.489839714459761
frac_labile,calendar,195,0.0965276312729907,0.0711292714479771,0.828892290097087,-0.271849310354559
frac_labile,structure_calendar,195,0.0775129304020661,0.0512966841818126,0.597776768414502,0.179873825902817
frac_labile,structure_calendar_climate,195,0.0779981425779231,0.0549352226142152,0.640177827675263,0.169574107072511
frac_labile,structure_calendar_climate_bgc,195,0.0829577054236744,0.0581154015670167,0.677237476416839,0.0606102371296828
frac_labile,linear90,48,0.0636144026738256,0.0436407423619109,0.508559614649758,0.542720749522582
frac_labile,nearest45,117,0.0943768600302952,0.0551614984184413,0.642814692439101,-0.0589877125506737
frac_labile,global_mean,195,0.0857629351889895,0.0630412627217598,0.734640121630793,-0.00399519190496545
frac_labile,depth_mean,195,0.0813186920622595,0.0565422932063023,0.65890553845179,0.0973630027658702
frac_labile,trt_depth_mean,195,0.0768571117117314,0.0522202622260197,0.60853952057774,0.193692907239617
frac_labile,plot_depth_mean,195,0.0688820124947183,0.0472729131869533,0.550886470132809,0.35234456372835
frac_aromatic,calendar,195,0.146134298397674,0.119515404716559,0.874244617698024,-0.148564425207756
frac_aromatic,structure_calendar,195,0.124501406060676,0.0960313888551718,0.702461118178081,0.166319668965659
frac_aromatic,structure_calendar_climate,195,0.12261202010476,0.0998514792464438,0.730404741609803,0.191430903712168
frac_aromatic,structure_calendar_climate_bgc,195,0.125569700585612,0.101773872065101,0.744466875096259,0.151951363195056
frac_aromatic,linear90,48,0.115860393171903,0.0845190462152545,0.618249349712649,0.470448752390288
frac_aromatic,nearest45,117,0.12001981154676,0.0888911174425288,0.650230664152422,0.314223627936566
frac_aromatic,global_mean,195,0.136591609746849,0.111365588658845,0.81462943385973,-0.00345774541708388
frac_aromatic,depth_mean,195,0.122133719983436,0.0945544174305652,0.691657202804005,0.19772693207009
frac_aromatic,trt_depth_mean,195,0.124461976497717,0.0961257055138408,0.703151036196567,0.166847638037153
frac_aromatic,plot_depth_mean,195,0.113881437528577,0.0858655978496932,0.628099255853639,0.302479583110638
frac_lignin,calendar,195,0.170024032872334,0.141594594372397,0.933081983245983,-0.261826860356788
frac_lignin,structure_calendar,195,0.122491585960588,0.094663414853727,0.623814258334232,0.345074866939665
frac_lignin,structure_calendar_climate,195,0.127612881672703,0.105917283481339,0.697975154834448,0.289166031693158
frac_lignin,structure_calendar_climate_bgc,195,0.12773865459229,0.104550304535982,0.688967018393632,0.287764171321854
frac_lignin,linear90,48,0.0748082473803206,0.0588605335612833,0.387879944384274,0.79744095696173
frac_lignin,nearest45,117,0.0880529030360184,0.0653287296614567,0.430504150992759,0.685944744773506
frac_lignin,global_mean,195,0.151731338805548,0.129619392780832,0.854167636972,-0.00491590809755804
frac_lignin,depth_mean,195,0.127380466717015,0.10234452812034,0.674431362978062,0.291752886564626
frac_lignin,trt_depth_mean,195,0.123619509642178,0.0987514627191539,0.650753731742693,0.332958008044287
frac_lignin,plot_depth_mean,195,0.102504484946002,0.0778133253914899,0.512775309686616,0.541367446860959
