sample_num,sample_col,total_peak_area,formula_detected_n,delGcat_wmean,lambda_wmean,cue_wmean,nosc_wmean,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing,technical_rep,run_date_chr,run_date,tray_position,sample_name_raw,sample_is_extra,sample_date,depth,treatment_raw,plot,treatment
5,Sihi_60398_005_r2_Fir_14Oct24_300SA_p06_5_1_6273,12394830911.2824,307,-12032.142075628,0.0390256061650935,0.549443533369702,-0.56674396196881,104.41908250635,1.25033207571764,0.322728280397919,0.620955400009678,0.0330764383000858,0.270278504140602,0,0.0902073206505105,0.0593160442355609,0.305210892653882,2,14Oct24,2024-10-14,5,5,FALSE,2018-10-10,0-10 cm,Control treatment,1,control
6,Sihi_60398_006_r1_Fir_09Oct24_300SA_p06_6_1_6194,13938049320.3073,438,-12988.5853180747,0.036933468457742,0.543344653074854,-0.505786922552424,112.574777097881,1.18038005766742,0.319787530656149,0.644370555387381,0.0385610655547002,0.257759332488747,0.00135037225246407,0.0876292292592073,0.0390574882878088,0.28690140138231,1,09Oct24,2024-10-09,6,6,FALSE,2018-11-07,0-10 cm,Control treatment,1,control
6,Sihi_60398_006_r2_Fir_14Oct24_300SA_p06_6_1_6281,9961202541.91106,411,-13535.5944203855,0.0364168371640711,0.544808528665716,-0.521865456341656,117.407781587734,1.17158687090935,0.30221344183225,0.602961594238534,0.0805948687346436,0.23263252566065,0,0.156275482385009,0.0386000264899567,0.28729185024228,2,14Oct24,2024-10-14,6,6,FALSE,2018-11-07,0-10 cm,Control treatment,1,control
7,Sihi_60398_007_r1_Fir_08Oct24_300SA_p03_7_1_6024,15210057889.6058,778,-14180.9939762396,0.0353415365514582,0.539681518380585,-0.469840373642665,122.902042731223,1.13784481254002,0.317694180289862,0.67299122104116,0.0618988232757512,0.21721066301583,0,0.100648391248349,0.0174491809022965,0.258327119227528,1,08Oct24,2024-10-08,7,7,FALSE,2019-09-10,0-10 cm,Control treatment,1,control
7,Sihi_60398_007_r1_Fir_09Oct24_300SA_p06_7_1_6067,24918775929.333,702,-13038.7564776129,0.0369207009861156,0.539670265011368,-0.469362177555109,112.911877129737,1.17717831987531,0.338320641666384,0.680416014905383,0.0544572725398693,0.230061967760012,0.00124170680754354,0.072059191641349,0.0271155665655084,0.255783902751077,1,09Oct24,2024-10-09,7,7,FALSE,2019-09-10,0-10 cm,Control treatment,1,control
7,Sihi_60398_007_r2_Fir_14Oct24_300SA_p06_7_1_6449,27201754014.322,768,-12725.1019275544,0.0377687113463452,0.538759437576474,-0.459972598715695,110.128270007345,1.20070705747061,0.352205873988229,0.668700303984936,0.0643237162450524,0.200116480648598,0,0.0999711924964537,0.0348640740968704,0.263323928543152,2,14Oct24,2024-10-14,7,7,FALSE,2019-09-10,0-10 cm,Control treatment,1,control
7,Sihi_60398_007_r2_Fir_24Oct24_300SA_p06_7_1_6539,25329186751.0238,788,-12956.8180986324,0.0373604886287485,0.539485596387871,-0.467479214135036,112.180383423876,1.17173741071166,0.333138003817704,0.655214070883368,0.0577280374434668,0.219004313536421,0,0.107834895289217,0.0331485056155588,0.271856106348598,2,24Oct24,2024-10-24,7,7,FALSE,2019-09-10,0-10 cm,Control treatment,1,control
8,Sihi_60398_008_r1_Fir_09Oct24_300SA_p06_8_1_6155,24060973202.2581,459,-12461.1700797731,0.0379396589861939,0.536506914634444,-0.435218517695322,107.682333491728,1.1711504831618,0.354982029856037,0.694508909183245,0.0172459305815996,0.259935912263358,0,0.0347095957549274,0.0119682682428936,0.28712247479073,1,09Oct24,2024-10-09,8,8,FALSE,2019-12-03,0-10 cm,Control treatment,1,control
8,Sihi_60398_008_r2_Fir_14Oct24_300SA_p06_8_1_6313,20605197425.1853,467,-12562.819616347,0.037931922127313,0.535930947223516,-0.429619326828955,108.50563958843,1.16057349789879,0.350950012599164,0.68948270399123,0.0178773120098064,0.255048416235671,0,0.0511859010015246,0.00581365105315793,0.292639983998963,2,14Oct24,2024-10-14,8,8,FALSE,2019-12-03,0-10 cm,Control treatment,1,control
9,Sihi_60398_009_r1_Fir_09Oct24_300SA_p06_9_1_6079,40055395566.2095,898,-11621.1685605806,0.041273049325463,0.525736337879924,-0.326505830573792,100.039115726961,1.20036525001025,0.4283484757981,0.801337515287205,0.0245224727238636,0.152684852289088,0,0.032389059661967,0.015235000848888,0.173098777820739,1,09Oct24,2024-10-09,9,9,FALSE,2020-01-28,0-10 cm,Control treatment,1,control
