scope,metric,metric_label,metric_order,lag_bin,n_pairs,median_lag_days,mean_scaled_semivar,rho_hat,median_abs_raw_change,depth_label,treatment_label
by_depth,richness,"Formula richness
(detected formulae)",1,181-365 d,121,267,0.825857463918346,0.174142536081654,150,10-30 cm,
by_depth,richness,"Formula richness
(detected formulae)",1,>365 d,427,911,1.23007660489439,-0.230076604894385,170,10-30 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,00-45 d,55,27,0.612663553341414,0.387336446658586,0.051112082132001,0-10 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,46-90 d,45,70,0.604492116487392,0.395507883512608,0.0656071312048739,0-10 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,91-180 d,72,135,0.619096313389988,0.380903686610012,0.0543235495163745,0-10 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,181-365 d,133,267,0.757624759677735,0.242375240322265,0.041727638455837,0-10 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,>365 d,643,954,1.15359616131115,-0.153596161311154,0.0974104510816259,0-10 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,00-45 d,30,28,1.27962599229325,-0.279625992293248,0.0555052489119801,10-30 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,46-90 d,40,70,1.13683722527649,-0.136837225276486,0.0470207544016386,10-30 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,91-180 d,66,138,0.889179288820007,0.110820711179993,0.0739813507411205,10-30 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,181-365 d,121,267,0.761460850587414,0.238539149412586,0.0492168444875201,10-30 cm,
by_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,>365 d,427,911,1.05226026987575,-0.0522602698757508,0.0738500712642,10-30 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,00-45 d,55,27,0.688267740500916,0.311732259499084,0.0349642442370699,0-10 cm,
by_depth,mean_hc,"Mean H/C
(formula-count mean)",3,46-90 d,45,70,0.547388611314107,0.452611388685893,0.0275276561737701,0-10 cm,
