scope,metric,metric_label,metric_order,lag_bin,n_pairs,median_lag_days,mean_scaled_semivar,rho_hat,median_abs_raw_change,depth_label,treatment_label
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,91-180 d,36,135,1.09714956854639,-0.0971495685463914,0.0490409533938235,0-10 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,181-365 d,67,267,0.852080154930809,0.147919845069191,0.031707689233962,0-10 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,>365 d,326,954,1.07824023644684,-0.0782402364468402,0.043654721806238,0-10 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,00-45 d,27,27,0.414254996803624,0.585745003196377,0.032113894038897,0-10 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,46-90 d,22,70.5,0.228072695926986,0.771927304073014,0.03245868350772,0-10 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,91-180 d,36,135,0.274277990100788,0.725722009899212,0.0325487900806685,0-10 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,181-365 d,66,267,0.449368519822826,0.550631480177175,0.0337137745575595,0-10 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,>365 d,317,938,1.30052109092736,-0.300521090927361,0.094393886732058,0-10 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,00-45 d,17,28,1.33974978707935,-0.339749787079353,0.042829701963899,10-30 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,46-90 d,21,70,1.1806402513363,-0.180640251336296,0.031595208829689,10-30 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,91-180 d,35,126,0.459497168670303,0.540502831329697,0.026883781287348,10-30 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,181-365 d,62,266.5,0.733719946267014,0.266280053732986,0.033157480992028,10-30 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,>365 d,237,925,1.10910451801508,-0.109104518015077,0.040048879062995,10-30 cm,Control
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,00-45 d,13,27,0.76927133067224,0.23072866932776,0.03265208791579,10-30 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,46-90 d,19,70,0.553345376362172,0.446654623637828,0.019556377476994,10-30 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,91-180 d,31,140,0.518903211056882,0.481096788943118,0.030261037154087,10-30 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,181-365 d,59,267,0.858127044813474,0.141872955186526,0.031941475961477,10-30 cm,Warmed
by_treatment_depth,mean_ai,"Aromaticity
(mean AI_mod)",5,>365 d,190,881,1.18300218612432,-0.183002186124323,0.055546675463561,10-30 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,00-45 d,28,27,0.643271068967276,0.356728931032724,4.520890249724,0-10 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,46-90 d,23,70,0.880397318923014,0.119602681076986,6.04962689921781,0-10 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,91-180 d,36,135,1.13000170092703,-0.130001700927033,8.0743516447641,0-10 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,181-365 d,67,267,0.924985125428451,0.075014874571549,5.3742553742554,0-10 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,>365 d,326,954,1.04013867207548,-0.0401386720754833,6.4163525759415,0-10 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,00-45 d,27,27,0.243683598482236,0.756316401517764,4.79966989773629,0-10 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,46-90 d,22,70.5,0.246890507373333,0.753109492626667,4.8928454854057,0-10 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,91-180 d,36,135,0.162433054483805,0.837566945516195,3.90335836620285,0-10 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,181-365 d,66,267,0.306938655195759,0.693061344804241,4.77134583972115,0-10 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,>365 d,317,938,1.35609908667012,-0.356099086670123,14.3881883012317,0-10 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,00-45 d,17,28,0.445932301758504,0.554067698241496,4.0097666847531,10-30 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,46-90 d,21,70,0.72605401593064,0.27394598406936,5.8035714285714,10-30 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,91-180 d,35,126,0.512937921426358,0.487062078573642,2.9562223315298,10-30 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,181-365 d,62,266.5,0.900348729852168,0.099651270147832,5.11251894294135,10-30 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,>365 d,237,925,1.16201505499918,-0.162015054999177,7.3478835978836,10-30 cm,Control
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,00-45 d,13,27,0.422237481142042,0.577762518857958,6.1348347470021,10-30 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,46-90 d,19,70,0.499698783201767,0.500301216798233,2.723171124718,10-30 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,91-180 d,31,140,0.456738748285548,0.543261251714452,6.1388570950002,10-30 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,181-365 d,59,267,0.79762790273359,0.20237209726641,6.0714285714286,10-30 cm,Warmed
by_treatment_depth,frac_lignin,"Lignin-like formulae
(%)",6,>365 d,190,881,1.24104046529572,-0.241040465295717,8.786797000189,10-30 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,00-45 d,28,27,0.714638980460236,0.285361019539764,4.6327512520593,0-10 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,46-90 d,23,70,0.713115418925747,0.286884581074253,6.4204545454546,0-10 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,91-180 d,36,135,1.14230044386994,-0.142300443869944,7.99353431719034,0-10 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,181-365 d,67,267,1.20955449807608,-0.20955449807608,7.8678678678679,0-10 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,>365 d,326,954,0.985967750188361,0.0140322498116386,10.2482144954593,0-10 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,00-45 d,27,27,0.680536329940538,0.319463670059462,4.9468549929249,0-10 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,46-90 d,22,70.5,0.58375249299811,0.41624750700189,4.09913628918415,0-10 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,91-180 d,36,135,0.708243191309311,0.291756808690689,5.8769232696633,0-10 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,181-365 d,66,267,0.614423908441347,0.385576091558653,4.74175339902625,0-10 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,>365 d,317,938,1.16950861640815,-0.169508616408148,5.913801320896,0-10 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,00-45 d,17,28,0.446349289718421,0.553650710281579,6.9823139277819,10-30 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,46-90 d,21,70,0.722336817450335,0.277663182549665,8.5297787116685,10-30 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,91-180 d,35,126,0.952251815212025,0.0477481847879748,9.1106719367589,10-30 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,181-365 d,62,266.5,0.922734946553497,0.0772650534465027,11.717219734768,10-30 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,>365 d,237,925,1.09158062738225,-0.0915806273822455,13.9415648265206,10-30 cm,Control
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,00-45 d,13,27,1.23494782209495,-0.234947822094952,9.55586800099248,10-30 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,46-90 d,19,70,0.95163850949199,0.0483614905080102,9.75329890992538,10-30 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,91-180 d,31,140,0.837691853336317,0.162308146663683,7.31757061899972,10-30 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,181-365 d,59,267,0.750011178998117,0.249988821001883,6.1937222766115,10-30 cm,Warmed
by_treatment_depth,frac_n_containing,"N-containing formulae
(%)",7,>365 d,190,881,1.09287073483212,-0.0928707348321214,8.77433419451322,10-30 cm,Warmed
