series_id,plot,treatment_label,depth_label,sample_num_1,sample_num_2,date_1,date_2,lag_days,log2_lag,formula_jaccard_distance,vk_class_braycurtis,metric_vector_distance
1.0-10 cm,1,Control,0-10 cm,1,2,2017-05-31,2017-12-06,189,7.56224242422107,0.706521739130435,0.022949329697796,0.370461227894238
1.0-10 cm,1,Control,0-10 cm,1,3,2017-05-31,2018-05-09,343,8.42206476617281,0.755357142857143,0.083729693711082,0.567002711827914
1.0-10 cm,1,Control,0-10 cm,1,4,2017-05-31,2018-05-22,356,8.4757334309664,0.357843137254902,0.0699814524183193,0.152115035769712
1.0-10 cm,1,Control,0-10 cm,1,5,2017-05-31,2018-10-10,497,8.95710204156229,0.468879668049793,0.0458931443206862,0.309314643511111
1.0-10 cm,1,Control,0-10 cm,1,6,2017-05-31,2018-11-07,525,9.03617361255349,0.583596214511041,0.0446179587283882,0.299770940070103
1.0-10 cm,1,Control,0-10 cm,1,7,2017-05-31,2019-09-10,832,9.70043971814109,0.765202702702703,0.0623325844638383,0.544619658558513
1.0-10 cm,1,Control,0-10 cm,1,8,2017-05-31,2019-12-03,916,9.83920378809694,0.629969418960245,0.0777741900764181,0.437406665175765
1.0-10 cm,1,Control,0-10 cm,1,9,2017-05-31,2020-01-28,972,9.92481250360578,0.826952526799387,0.112382870921466,0.618127737455633
1.0-10 cm,1,Control,0-10 cm,1,10,2017-05-31,2021-12-15,1659,10.6960981709559,0.632716049382716,0.153965819456617,0.885547970565634
1.0-10 cm,1,Control,0-10 cm,1,11,2017-05-31,2022-08-23,1910,10.8993569229231,0.691139240506329,0.229974697584139,1.1784993819217
1.0-10 cm,1,Control,0-10 cm,1,12,2017-05-31,2022-09-08,1926,10.9113919878435,0.658753709198813,0.0660199121149723,0.619273415622279
1.0-10 cm,1,Control,0-10 cm,1,13,2017-05-31,2022-11-16,1995,10.9621730311097,0.838461538461539,0.165660685828469,1.04822724090579
1.0-10 cm,1,Control,0-10 cm,2,3,2017-12-06,2018-05-09,154,7.2667865406949,0.411184210526316,0.0938410320432792,0.359573068627548
1.0-10 cm,1,Control,0-10 cm,2,4,2017-12-06,2018-05-22,167,7.38370429247405,0.666666666666667,0.0566322136089578,0.36633044811595
1.0-10 cm,1,Control,0-10 cm,2,5,2017-12-06,2018-10-10,308,8.2667865406949,0.591611479028698,0.0314635023372888,0.347857946218178
