sample_num,sample_name_raw,sample_is_extra,sample_date,plot,treatment,treatment_raw,depth,sample_run_n,sample_first_run,sample_last_run,total_peak_area_mean,total_peak_area_sd,formula_detected_n_mean,formula_detected_n_sd,delGcat_wmean,delGcat_wmean_sd,lambda_wmean,lambda_wmean_sd,cue_wmean,cue_wmean_sd,nosc_wmean,nosc_wmean_sd,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing
108,108,FALSE,2020-02-25,1,control,Control treatment,10-30 cm,3,2024-10-09,2024-10-24,11551653737.0181,1682618866.86442,380,51.4198405287298,-15390.1333470299,458.417040977201,0.0308756424844744,0.000479981677459709,0.58943573772891,0.00926888516607607,-0.959803446079276,0.091271957195649,134.852397992119,1.27600534151803,0.160088328459564,0.0863087360512871,0.111396409997196,0.374646072194006,0.232042052207807,0.264636170607668,0.318051936658393,0.53621002710894
109,109,FALSE,2021-09-21,1,control,Control treatment,10-30 cm,2,2024-10-09,2024-10-14,6711118231.78072,1308538700.54503,132,24.0416305603426,-14434.6775695853,1439.49056268965,0.0284465666118257,0.000425658297820661,0.629247703241326,0.0104950661583828,-1.35954116027692,0.104201866480833,128.037222535711,1.60952535589947,0.160650371889277,0.0505214579755823,0.0962786287793083,0.317536688818599,0.420399090379453,0.189502170107521,0.467719480484082,0.416461140178037
110,110,FALSE,2022-08-23,1,control,Control treatment,10-30 cm,2,2024-10-09,2024-10-14,11237662323.5213,1410918420.42504,170.5,40.3050865276332,-12857.0111345949,86.5917367404172,0.0334373120199165,0.000548607594692405,0.612607723672281,0.00255499997842585,-1.19255242324546,0.0247379087065542,113.565326539074,1.52495366479427,0.172257079243935,0.0958501923964896,0.0746010233186841,0.461270171422324,0.258593813236639,0.163456380238429,0.322961091957167,0.536103694012587
111,111,FALSE,2022-09-08,1,control,Control treatment,10-30 cm,2,2024-10-09,2024-10-14,6714512821.48948,610889691.790595,315.5,37.476659402887,-17340.5591675337,1003.06930014599,0.0289732320370308,0.00086880603159639,0.582772285226899,0.000516801402296392,-0.896566927436358,0.00434683991089742,151.982606630352,1.20160853251803,0.140531084762005,0.112614256889097,0.100119290445607,0.477948761917988,0.140125946972112,0.244782885898238,0.20860250765305,0.617474184639003
112,112,FALSE,2022-11-16,1,control,Control treatment,10-30 cm,3,2024-10-08,2024-10-14,10077057704.0009,3851663136.12109,526.666666666667,102.207305674953,-19186.5940256918,1171.67955306749,0.0265183818564419,0.000924895814485148,0.559885969831254,0.00358637658170688,-0.665616332514873,0.0353311245966088,166.767326842391,1.01025907757683,0.154802271165001,0.097788927525637,0.172144767859894,0.312196225112321,0.146083189196022,0.384660080623649,0.247246311589064,0.558887968026316
113,113,FALSE,2023-01-12,1,control,Control treatment,10-30 cm,2,2024-10-09,2024-10-14,13018459484.328,784819010.109111,715,4.24264068711929,-15994.9827877299,328.193903641949,0.0313482154665638,0.000122365119511092,0.58231037690285,0.00203798553830637,-0.891373053516342,0.0198142444008139,140.026980645057,1.21906613715393,0.160844763650483,0.159052624872843,0.136765350068001,0.339064652968474,0.175509653827347,0.276502362016532,0.275877681256853,0.491513452507963
114,114,FALSE,2023-05-30,1,control,Control treatment,10-30 cm,2,2024-10-09,2024-10-14,14006360454.5495,2383939110.49389,469,45.2548339959391,-18303.9387131247,364.773789363477,0.0257860403484706,0.000116802094171784,0.567880568405457,0.00438719834098746,-0.750808464080614,0.0437343267278301,159.741199191831,1.0422585233994,0.124079211874589,0.106433200606065,0.180748847182443,0.37058599689988,0.128361755680119,0.348375054752709,0.19912146959937,0.568888185399952
115,115,FALSE,2023-08-22,1,control,Control treatment,10-30 cm,2,2024-10-09,2024-10-14,13769196284.5141,2314926308.1465,950.5,122.329473145273,-18107.9110991203,1757.32935220794,0.0282849203324733,0.000983212521530517,0.574583990397886,0.00267185175745167,-0.820342841876427,0.0256867414879793,158.674511920004,1.15261648852078,0.1426186949492,0.114536814656617,0.199576583302712,0.400491772666322,0.131750234704484,0.324594582976384,0.192535758179131,0.531420307354249
116,116,FALSE,2023-12-12,1,control,Control treatment,10-30 cm,2,2024-10-09,2024-10-14,17157471171.7368,546591729.056036,1014,4.24264068711929,-16877.6174475205,109.060805690177,0.0302750102608983,9.05059826560607e-05,0.55873272851436,0.00116064627661726,-0.664235877880281,0.011884027481768,147.24975639379,1.0261196387821,0.139393011642595,0.116707263021156,0.251796817338427,0.439325083625487,0.0820293643595219,0.345049424425235,0.115397251223382,0.54032664303146
117,117,FALSE,2020-02-25,2,warmed,warming treatment,10-30 cm,2,2024-10-09,2024-10-14,12316486143.0517,853106331.960781,1002.5,48.7903679018718,-18218.3297586645,567.678770611536,0.0284864730927603,0.000245993402569178,0.576168051449308,0.000211173590052477,-0.830687524148749,0.00296670691580828,159.525317972878,1.16871913925397,0.159491399884004,0.169410829049857,0.0975381212365449,0.42914208246812,0.130241604616057,0.243506672016194,0.203542906321701,0.571092864867411
118,118,FALSE,2021-09-21,2,warmed,warming treatment,10-30 cm,3,2024-10-09,2024-10-24,27349674704.1768,2126351599.75564,1132.33333333333,278.740620171035,-15629.4125720245,131.380379345631,0.0310959211488787,0.000671054906033199,0.556672834936715,0.00156317302660382,-0.639675410925525,0.0157147356694707,136.057194578982,1.06431162465157,0.175971168462405,0.187146590199444,0.183086249210284,0.40263833732072,0.0618268222530271,0.326087187876037,0.155239849360527,0.501013735925183
119,119,FALSE,2022-08-23,2,warmed,warming treatment,10-30 cm,2,2024-10-09,2024-10-14,8414323324.7515,1608481628.27777,270,14.142135623731,-16284.0911252614,680.608538154892,0.0293769055766094,3.98969628692375e-05,0.584140391520518,0.00280071830646775,-0.912111363233429,0.0284458064751417,142.450906617089,1.22730720190577,0.155944096270738,0.139154200984477,0.179531867578234,0.280299387202775,0.224280534161185,0.325881601848923,0.303184209909386,0.41991464481833
120,120,FALSE,2022-09-08,2,warmed,warming treatment,10-30 cm,2,2024-10-09,2024-10-14,4207424686.00676,736817138.072754,36.5,3.53553390593274,-10440.764294936,121.987359775641,0.0387932841496202,0.000717433269703016,0.628066393732576,0.00569258740880341,-1.35469601656838,0.0555040190488623,93.1449924180938,1.76220341141192,0.229358676324635,0.288351060425781,0.0423278646937702,0.206883608448323,0.34840593350671,0.156359397619187,0.424122705575562,0.266545452780755
121,121,FALSE,2022-11-16,2,warmed,warming treatment,10-30 cm,3,2024-10-09,2024-10-24,29296756354.8458,2814813881.72971,499.333333333333,59.180514811324,-13612.9867249055,473.933688331713,0.0335181364977651,0.00122047468434958,0.577882896302616,0.00900333766010073,-0.84773110052838,0.0887170954132927,118.946238796364,1.25716354087296,0.185535354031698,0.14776582621812,0.132554176490697,0.467090746857757,0.150000071558787,0.219862439523441,0.191560251140026,0.545563963271382
